,-E1_0,-E1_1,-E1_2,-E2_0,-E2_1,-E2_2,-E3_0,-E3_1,-E3_2,-E4_0,-E4_1,-E4_2,:Inter_0_0,:Inter_10_0,:Inter_11_0,:Inter_1_0,:Inter_2_0,:Inter_3_0,:Inter_4_0,:Inter_5_0,:Inter_6_0,:Inter_7_0,:Inter_8_0,:Inter_9_0,E1_0,E1_1,E1_2,E2_0,E2_1,E2_2,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
86,0,0,0,0,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,1,4,3,1,0,0
87,0,0,0,0,2,2,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,4,3,1,0,0
88,1,0,0,0,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,4,3,1,0,0
89,1,0,0,0,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,4,3,1,0,0
90,1,0,0,0,2,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,4,3,1,0,0
91,1,0,0,0,2,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,4,3,1,0,0
92,1,0,0,0,2,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,4,3,1,0,0
93,1,0,0,0,3,4,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,2,1,0,0,4,3,1,0,0
94,1,0,0,0,3,4,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,4,3,2,0,0
95,1,0,0,0,2,3,0,0,0,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,2,1,0,0,4,3,2,0,0
96,1,0,0,0,2,3,0,0,0,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,3,4,0,2,1,0,0,4,3,2,0,0
97,1,0,0,0,2,3,0,0,0,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,4,0,1,1,0,0,4,3,2,0,0
